url,url_mobile,title,seendate,socialimage,domain,language,sourcecountry
https://www.antaranews.com/berita/5582096/macet-total-di-tanjung-priok-akibat-aktivitas-depo-kontainer-di-cakung,https://m.antaranews.com/amp/berita/5582096/macet-total-di-tanjung-priok-akibat-aktivitas-depo-kontainer-di-cakung,Macet total di Tanjung Priok akibat aktivitas depo kontainer di Cakung,20260525T131500Z,https://cdn.antaranews.com/cache/1200x800/2026/05/25/66093941-97f8-4374-9a24-657e3eec2af6_1.jpeg,antaranews.com,Indonesian,Indonesia
https://www.merdeka.com/peristiwa/kemacetan-parah-di-tanjung-priok-polisi-ungkap-biang-keroknya-576813-mvk.html,https://www.merdeka.com/amp/peristiwa/kemacetan-parah-di-tanjung-priok-polisi-ungkap-biang-keroknya-576813-mvk.html,"Kemacetan Parah di Tanjung Priok , Polisi Ungkap Biang Keroknya",20260525T143000Z,https://cdns.klimg.com/mav-prod-resized/1280x720/ori/newsCover/2026/5/25/1779717580756-xbjuu.webp,merdeka.com,Indonesian,Indonesia
https://www.antaranews.com/berita/5582061/polisi-kemacetan-di-kawasan-priok-bukan-karena-operasional-pelabuhan,https://m.antaranews.com/amp/berita/5582061/polisi-kemacetan-di-kawasan-priok-bukan-karena-operasional-pelabuhan,Polisi : kemacetan di kawasan Priok bukan karena operasional pelabuhan,20260525T131500Z,https://img.antaranews.com/cache/1200x800/2026/05/25/223dd956-53c6-4f86-bf81-153682ff9224.jpeg,antaranews.com,Indonesian,Indonesia
https://www.liputan6.com/news/read/7255572/polisi-ungkap-penyebab-kemacetan-panjang-di-tanjung-priok,https://www.liputan6.com/amp/7255572/polisi-ungkap-penyebab-kemacetan-panjang-di-tanjung-priok,Polisi Ungkap Penyebab Kemacetan Panjang di Tanjung Priok,20260525T140000Z,https://cdn0-production-images-kly.akamaized.net/1YskdCHtrnpfikTopOMdm-eQ8Wk=/1200x675/smart/filters:quality(75):strip_icc():format(jpeg)/kly-media-production/medias/6946943/original/077572700_1779714803-223dd956-53c6-4f86-bf81-153682ff9224.jpeg,liputan6.com,Indonesian,Indonesia
https://wartakota.tribunnews.com/jakarta/890863/akses-jalan-di-tanjung-priok-jakarta-utara-macet-total-aktivitas-depo-kontainer-jadi-sorotan,,"Akses Jalan di Tanjung Priok Jakarta Utara Macet Total , Aktivitas Depo Kontainer Jadi Sorotan",20260525T234500Z,https://asset.tribunnews.com/UBC7Ro_51z24G36FCG_Gq15BwJI=/1200x675/filters:upscale():quality(30):format(webp):focal(0.5x0.5:0.5x0.5)/wartakota/foto/bank/originals/Kemacetan-di-Tanjung-Priok-hys.jpg,wartakota.tribunnews.com,Indonesian,Indonesia
https://mindset.viva.co.id/berita/11348-surat-bupati-banyuwangi-ke-menhub-minta-pelebaran-jalan-hingga-armada-kapal-besar,https://mindset.viva.co.id/amp/berita/11348-surat-bupati-banyuwangi-ke-menhub-minta-pelebaran-jalan-hingga-armada-kapal-besar,Surat Bupati Banyuwangi ke Menhub : Minta Pelebaran Jalan hingga Armada Kapal Besar,20260626T023000Z,,mindset.viva.co.id,Indonesian,Indonesia
https://surabaya.tribunnews.com/banyuwangi/1942919/bupati-ipuk-ajukan-solusi-atasi-kemacetan-pelabuhan-ketapang-banyuwangi,,Bupati Ipuk Ajukan Solusi Atasi Kemacetan Pelabuhan Ketapang Banyuwangi,20260625T163000Z,https://asset.tribunnews.com/TA2kDAt3gewl-CObXH8RRn_GPGk=/1200x675/filters:upscale():quality(30):format(webp):focal(0.5x0.5:0.5x0.5)/surabaya/foto/bank/originals/Dishub-Banyuwangi-saat-mengikuti-Rapat-Bersama-Komisi-4-DPRD.jpg,surabaya.tribunnews.com,Indonesian,Indonesia
https://www.antaranews.com/berita/5585748/kemacetan-truk-trailer-mengular-dari-tj-priok-hingga-cakung-cilincing,https://m.antaranews.com/amp/berita/5585748/kemacetan-truk-trailer-mengular-dari-tj-priok-hingga-cakung-cilincing,Kemacetan truk trailer mengular dari Tj Priok hingga Cakung - Cilincing,20260528T131500Z,https://cdn.antaranews.com/cache/1200x800/2026/05/25/66093941-97f8-4374-9a24-657e3eec2af6_1.jpeg,antaranews.com,Indonesian,Indonesia
https://surabaya.tribunnews.com/banyuwangi/1942597/antrean-kendaraan-menuju-pelabuhan-ketapang-mengular-hingga-dua-kilometer,,Antrean Kendaraan Menuju Pelabuhan Ketapang Mengular hingga Dua Kilometer,20260622T081500Z,,surabaya.tribunnews.com,Indonesian,Indonesia
https://surabaya.kompas.com/read/2026/06/23/135246678/dulu-2-jam-kini-macet-sehari-semalam-sopir-logistik-curhat-soal-ketapang,,"Dulu 2 Jam , Kini Macet Sehari Semalam ! Sopir Logistik Curhat soal Ketapang",20260623T071500Z,"https://asset.kompas.com/crops/Q6eqs8ijdtCU07gpBFPYC1OvyZc=/0x0:0x0/1200x675/filters:watermark(data/photo/2026/01/30/697c815a5f0b9.png,0,-0,1)/data/photo/2026/06/23/6a3a27b14057c.jpg",surabaya.kompas.com,Indonesian,Indonesia
https://jatim.jpnn.com/jatim-terkini/46623/banyuwangi-minta-kemenhub-atasi-macet-ketapang-usulkan-tambah-kapal-hingga-dermaga,,"Banyuwangi Minta Kemenhub Atasi Macet Ketapang , Usulkan Tambah Kapal hingga Dermaga",20260626T031500Z,https://cloud.jpnn.com/photo/jatim/news/normal/2026/06/26/petugas-satlantas-polresta-banyuwangi-jawa-timur-mengatur-a5-alrx.jpg,jatim.jpnn.com,Indonesian,Indonesia
https://bali.jpnn.com/bali-terkini/42607/bali-dikepung-macet-menjelang-libur-panjang-jalan-nasional-padat-merayap,,"Bali Dikepung Macet Menjelang Libur Panjang , Jalan Nasional Padat Merayap",20260616T104500Z,https://cloud.jpnn.com/photo/bali/news/normal/2025/03/27/pemudik-yang-menghindari-penutupan-pelabuhan-karena-hari-ray-szwy.jpg,bali.jpnn.com,Indonesian,Indonesia
https://surabaya.kompas.com/read/2026/06/27/112337878/kemacetan-pelabuhan-ketapang-gapasdap-menambah-kapal-bukan-solusi,,"Kemacetan Pelabuhan Ketapang , Gapasdap : Menambah Kapal Bukan Solusi",20260627T044500Z,"https://asset.kompas.com/crops/mRnLF7wW3QsH3CG35x5TrJKHYBc=/0x0:0x0/1200x675/filters:watermark(data/photo/2026/01/30/697c815a5f0b9.png,0,-0,1)/data/photo/2026/06/25/6a3d15f88f5de.jpg",surabaya.kompas.com,Indonesian,Indonesia
https://surabaya.kompas.com/read/2026/06/05/060746578/akses-ke-pelabuhan-ketapang-banyuwangi-macet-lagi-sopir-truk-pilih-putar,,"Akses ke Pelabuhan Ketapang Banyuwangi Macet Lagi , Sopir Truk Pilih Putar Balik",20260605T011500Z,"https://asset.kompas.com/crops/ySeB193NA4xGgVqeI2r8JTfRPhk=/0x5:670x451/1200x675/filters:watermark(data/photo/2026/01/30/697c815a5f0b9.png,0,-0,1)/data/photo/2026/06/05/6a21b73a05da9.jpg",surabaya.kompas.com,Indonesian,Indonesia
https://baomoi.com/hang-nghin-phuong-tien-chat-vat-di-chuyen-do-un-tac-tai-dong-nai-c55394302.epi,,Hàng nghìn phương tiện chật vật di chuyển do ùn tắc tại Đồng Nai,20260614T161500Z,https://baomoi-photo-fbcrawler.bmcdn.me/w1200_r16x9/2026_06_14_293_55394302/723afdc3818868d63199.jpg,baomoi.com,Vietnamese,Vietnam
https://www.novilist.hr/novosti/hrvatska/pojacan-je-promet-na-svim-cestama-u-smjeru-mora-ispred-naplate-lucko-su-povremeni-zastoji/,,"Pojačan je promet na svim cestama u smjeru mora , ispred naplate Lučko su povremeni zastoji",20260613T110000Z,https://www.novilist.hr/wp-content/uploads/2023/04/7612689-1024x666.jpg,novilist.hr,Croatian,Croatia
