time,temperature_2m_mean,precipitation_sum,wind_speed_10m_max
2020-01-01,7.6,0.0,10.0
2020-01-02,7.3,0.0,13.8
2020-01-03,7.7,0.0,11.5
2020-01-04,8.2,0.0,16.9
2020-01-05,8.6,0.0,18.7
2020-01-06,7.5,0.0,11.0
2020-01-07,7.5,0.0,14.3
2020-01-08,9.2,0.0,10.3
2020-01-09,8.0,0.0,16.2
2020-01-10,9.2,14.4,20.6
2020-01-11,6.3,0.0,9.8
2020-01-12,6.2,0.0,11.8
2020-01-13,5.6,0.0,14.5
2020-01-14,6.5,0.0,13.4
2020-01-15,7.0,0.0,15.1
2020-01-16,7.9,0.0,13.2
2020-01-17,9.9,0.0,25.5
2020-01-18,8.7,0.0,15.5
2020-01-19,9.2,5.0,29.8
2020-01-20,8.0,31.4,45.8
2020-01-21,10.4,80.8,51.1
2020-01-22,12.7,15.2,42.2
2020-01-23,11.6,25.6,29.3
2020-01-24,9.0,0.0,12.2
2020-01-25,9.3,2.4,9.0
2020-01-26,9.9,3.8,10.5
2020-01-27,8.9,0.0,19.5
2020-01-28,11.6,0.0,24.8
2020-01-29,9.6,0.0,13.6
2020-01-30,11.1,0.0,12.4
2020-01-31,12.0,0.0,10.5
2020-02-01,12.3,0.4,13.4
2020-02-02,13.9,0.0,13.5
2020-02-03,14.3,0.0,14.0
2020-02-04,13.3,0.0,22.1
2020-02-05,10.4,0.0,10.8
2020-02-06,8.7,0.0,16.3
2020-02-07,9.7,0.0,15.0
2020-02-08,9.4,0.0,14.0
2020-02-09,10.4,0.0,19.7
2020-02-10,13.5,0.0,16.6
2020-02-11,12.0,0.1,10.7
2020-02-12,11.9,1.9,19.7
2020-02-13,12.7,0.0,18.2
2020-02-14,11.5,0.5,14.5
2020-02-15,11.5,0.0,16.8
2020-02-16,12.4,0.0,21.9
2020-02-17,13.1,0.0,14.6
2020-02-18,11.5,0.8,16.5
2020-02-19,9.5,0.0,13.0
2020-02-20,9.3,0.0,18.5
2020-02-21,10.8,0.0,16.8
2020-02-22,10.5,0.0,11.3
2020-02-23,11.9,0.0,15.0
2020-02-24,12.1,0.0,15.5
2020-02-25,10.7,0.0,20.5
2020-02-26,12.4,0.0,26.4
2020-02-27,13.3,2.3,21.9
2020-02-28,12.2,0.0,18.9
2020-02-29,13.6,0.0,23.8
2020-03-01,14.7,0.6,31.9
2020-03-02,14.3,1.5,41.8
2020-03-03,11.2,0.0,34.1
2020-03-04,11.1,0.0,12.1
2020-03-05,14.1,0.0,30.4
2020-03-06,10.8,1.2,31.9
2020-03-07,10.8,0.0,16.8
2020-03-08,11.1,0.0,17.3
2020-03-09,11.1,0.6,25.1
2020-03-10,12.0,0.0,18.5
2020-03-11,11.9,0.0,12.5
2020-03-12,13.0,0.0,12.6
2020-03-13,13.8,0.6,15.9
2020-03-14,12.6,0.0,16.9
2020-03-15,12.1,0.5,19.2
2020-03-16,13.1,18.9,32.3
2020-03-17,13.9,2.2,26.1
2020-03-18,12.5,0.0,13.0
2020-03-19,11.2,0.0,11.2
2020-03-20,11.0,0.0,14.6
2020-03-21,11.8,0.0,14.1
2020-03-22,12.8,1.1,20.9
2020-03-23,13.2,6.1,24.1
2020-03-24,11.7,0.1,27.8
2020-03-25,10.4,0.2,18.9
2020-03-26,8.3,0.8,29.0
2020-03-27,9.3,1.2,15.5
2020-03-28,12.1,0.3,15.2
2020-03-29,12.8,0.0,14.1
2020-03-30,10.8,5.2,18.5
2020-03-31,11.2,13.5,23.7
2020-04-01,11.4,12.7,34.5
2020-04-02,12.0,0.0,27.0
2020-04-03,12.0,0.4,25.3
2020-04-04,11.5,0.0,16.6
2020-04-05,11.6,0.0,14.5
2020-04-06,12.4,0.0,13.6
2020-04-07,13.2,0.0,14.2
2020-04-08,13.5,0.0,12.6
2020-04-09,13.8,1.5,15.2
2020-04-10,14.0,0.0,17.0
2020-04-11,13.9,0.0,15.7
2020-04-12,14.2,0.0,13.1
2020-04-13,14.0,15.2,24.4
2020-04-14,14.3,0.1,15.2
2020-04-15,14.4,0.6,24.5
2020-04-16,15.7,0.0,15.6
2020-04-17,14.8,1.1,17.7
2020-04-18,15.1,16.5,17.6
2020-04-19,15.8,21.9,20.2
2020-04-20,15.7,27.3,11.0
2020-04-21,14.8,50.0,30.4
2020-04-22,14.5,11.4,30.7
2020-04-23,16.1,0.4,12.8
2020-04-24,16.1,0.0,15.6
2020-04-25,15.1,0.0,16.0
2020-04-26,15.5,0.0,13.4
2020-04-27,15.8,0.7,17.9
2020-04-28,16.8,6.6,21.5
2020-04-29,16.5,1.3,25.0
2020-04-30,17.8,0.0,28.9
2020-05-01,20.0,0.0,24.3
2020-05-02,18.3,0.0,16.5
2020-05-03,17.7,0.0,13.9
2020-05-04,18.8,0.0,17.1
2020-05-05,18.4,0.0,13.7
2020-05-06,19.5,0.0,15.9
2020-05-07,18.7,0.0,14.8
2020-05-08,18.6,0.4,13.1
2020-05-09,18.1,1.0,17.7
2020-05-10,17.7,7.2,34.2
2020-05-11,19.1,0.1,30.9
2020-05-12,16.4,1.8,25.1
2020-05-13,18.1,6.5,25.4
2020-05-14,16.1,22.1,22.7
2020-05-15,16.7,4.9,12.2
2020-05-16,17.3,5.4,12.3
2020-05-17,18.0,0.2,17.1
2020-05-18,18.2,0.0,13.3
2020-05-19,20.1,0.0,15.5
2020-05-20,19.9,0.0,11.7
2020-05-21,21.8,0.0,17.9
2020-05-22,21.3,0.0,15.5
2020-05-23,20.6,0.5,20.2
2020-05-24,19.6,0.0,16.8
2020-05-25,20.2,0.0,16.2
2020-05-26,20.8,0.0,21.3
2020-05-27,20.3,0.0,22.0
2020-05-28,20.2,0.0,15.9
2020-05-29,21.3,0.2,17.8
2020-05-30,19.9,0.0,16.5
2020-05-31,20.5,0.2,18.8
2020-06-01,20.8,0.3,18.7
2020-06-02,20.5,0.0,16.2
2020-06-03,21.4,1.2,23.6
2020-06-04,20.1,4.9,24.1
2020-06-05,18.7,0.0,25.6
2020-06-06,19.8,0.0,15.4
2020-06-07,19.6,5.1,18.1
2020-06-08,17.5,3.4,15.1
2020-06-09,17.2,4.6,17.4
2020-06-10,17.9,2.1,11.5
2020-06-11,18.7,2.7,13.6
2020-06-12,20.8,0.6,25.1
2020-06-13,20.7,0.1,28.7
2020-06-14,19.9,0.6,16.5
2020-06-15,20.4,0.0,21.3
2020-06-16,19.8,4.5,15.1
2020-06-17,19.1,1.4,14.5
2020-06-18,18.4,6.0,19.2
2020-06-19,19.7,0.0,18.0
2020-06-20,20.9,0.0,19.8
2020-06-21,21.9,0.0,18.0
2020-06-22,22.1,0.0,16.9
2020-06-23,23.4,0.0,22.3
2020-06-24,22.7,0.0,17.5
2020-06-25,23.8,0.0,15.1
2020-06-26,24.0,0.0,13.4
2020-06-27,23.6,0.0,14.8
2020-06-28,24.9,0.0,16.6
2020-06-29,24.3,0.2,17.8
2020-06-30,24.6,0.0,16.8
2020-07-01,25.4,0.0,15.2
2020-07-02,25.2,0.0,18.8
2020-07-03,22.5,12.1,22.1
2020-07-04,23.0,0.6,22.6
2020-07-05,24.3,0.0,17.9
2020-07-06,24.6,0.0,19.7
2020-07-07,24.2,2.4,17.6
2020-07-08,24.4,0.0,17.4
2020-07-09,25.5,0.0,17.5
2020-07-10,24.9,0.0,22.9
2020-07-11,25.2,0.0,22.4
2020-07-12,24.3,0.0,18.4
2020-07-13,25.4,0.0,17.9
2020-07-14,24.8,0.3,19.0
2020-07-15,23.9,2.6,23.7
2020-07-16,23.1,2.1,18.1
2020-07-17,23.6,1.6,18.4
2020-07-18,24.1,1.6,20.3
2020-07-19,25.4,0.0,23.6
2020-07-20,25.0,0.0,20.5
2020-07-21,25.0,0.0,15.1
2020-07-22,25.7,0.0,16.6
2020-07-23,26.8,0.0,14.8
2020-07-24,26.1,0.0,22.0
2020-07-25,26.1,0.1,19.8
2020-07-26,25.5,0.0,17.0
2020-07-27,26.4,0.0,21.2
2020-07-28,26.4,0.0,17.4
2020-07-29,26.5,0.0,15.7
2020-07-30,26.9,0.0,14.3
2020-07-31,27.3,0.0,16.1
2020-08-01,28.1,0.0,16.1
2020-08-02,27.5,0.3,24.9
2020-08-03,24.4,2.6,18.9
2020-08-04,23.3,2.5,23.5
2020-08-05,24.3,1.0,18.1
2020-08-06,25.1,0.0,14.9
2020-08-07,25.7,0.0,21.9
2020-08-08,27.1,0.0,18.6
2020-08-09,27.2,0.0,14.8
2020-08-10,27.1,0.0,23.7
2020-08-11,26.5,0.0,17.1
2020-08-12,27.2,0.8,19.9
2020-08-13,26.5,0.3,15.3
2020-08-14,26.1,0.0,20.3
2020-08-15,26.2,0.0,20.4
