time,temperature_2m_mean,precipitation_sum,wind_speed_10m_max
2020-01-01,5.6,0.0,19.5
2020-01-02,8.0,0.0,28.8
2020-01-03,7.7,2.3,32.0
2020-01-04,5.4,0.0,22.7
2020-01-05,5.5,0.0,19.6
2020-01-06,7.1,0.8,27.0
2020-01-07,8.0,0.2,33.9
2020-01-08,10.7,2.6,29.5
2020-01-09,10.7,5.1,38.0
2020-01-10,5.8,0.9,21.8
2020-01-11,8.2,0.0,36.2
2020-01-12,8.8,1.4,34.9
2020-01-13,8.2,3.0,48.5
2020-01-14,10.2,1.6,52.3
2020-01-15,8.7,8.7,51.2
2020-01-16,8.8,0.3,38.3
2020-01-17,7.7,5.4,34.4
2020-01-18,3.7,0.0,20.3
2020-01-19,3.2,0.0,18.1
2020-01-20,2.2,0.0,10.5
2020-01-21,1.0,0.0,9.4
2020-01-22,4.1,0.0,8.9
2020-01-23,6.6,0.7,8.4
2020-01-24,5.5,0.2,11.2
2020-01-25,5.8,0.0,18.0
2020-01-26,7.9,2.0,33.6
2020-01-27,7.0,4.9,22.4
2020-01-28,4.5,1.7,30.2
2020-01-29,5.2,0.0,30.2
2020-01-30,8.7,0.2,29.0
2020-01-31,10.2,0.0,34.6
2020-02-01,9.8,0.0,34.8
2020-02-02,9.5,3.0,31.6
2020-02-03,8.7,0.1,30.1
2020-02-04,6.3,0.0,34.2
2020-02-05,5.5,0.0,13.3
2020-02-06,3.4,0.0,11.2
2020-02-07,6.5,0.0,26.4
2020-02-08,8.6,2.0,32.2
2020-02-09,9.9,10.1,60.7
2020-02-10,6.9,2.1,45.0
2020-02-11,4.9,0.1,41.8
2020-02-12,4.5,0.1,31.4
2020-02-13,6.9,9.1,44.7
2020-02-14,6.6,0.0,30.6
2020-02-15,10.6,3.6,54.8
2020-02-16,10.1,9.4,56.3
2020-02-17,7.6,0.0,36.9
2020-02-18,6.6,1.2,35.0
2020-02-19,5.7,2.0,25.2
2020-02-20,7.5,3.8,42.1
2020-02-21,7.0,0.0,37.1
2020-02-22,10.3,0.0,41.9
2020-02-23,9.4,4.1,48.9
2020-02-24,8.6,5.1,38.4
2020-02-25,5.5,4.8,31.5
2020-02-26,3.7,1.1,34.5
2020-02-27,3.8,5.2,32.2
2020-02-28,5.5,9.6,40.1
2020-02-29,7.6,4.5,42.5
2020-03-01,6.3,0.1,35.4
2020-03-02,5.5,5.6,23.5
2020-03-03,4.6,0.6,22.5
2020-03-04,4.8,2.6,14.5
2020-03-05,6.1,15.8,29.0
2020-03-06,4.9,0.3,20.6
2020-03-07,6.0,0.0,32.6
2020-03-08,9.2,0.8,39.9
2020-03-09,7.2,4.2,38.5
2020-03-10,12.1,0.9,44.3
2020-03-11,10.3,0.0,37.8
2020-03-12,7.5,0.5,39.9
2020-03-13,7.0,0.7,31.3
2020-03-14,7.7,1.5,29.9
2020-03-15,9.0,2.0,37.1
2020-03-16,6.5,0.0,13.6
2020-03-17,8.5,0.0,25.0
2020-03-18,10.8,0.4,26.2
2020-03-19,7.2,0.2,19.7
2020-03-20,6.7,0.4,30.4
2020-03-21,6.6,0.0,31.8
2020-03-22,6.0,0.0,28.8
2020-03-23,6.6,0.0,24.3
2020-03-24,6.7,0.0,23.1
2020-03-25,6.5,0.0,15.5
2020-03-26,6.5,0.0,21.1
2020-03-27,7.4,0.0,28.1
2020-03-28,6.9,0.0,33.9
2020-03-29,4.7,1.0,39.4
2020-03-30,5.6,1.2,21.1
2020-03-31,5.3,0.0,21.0
2020-04-01,4.4,0.0,9.1
2020-04-02,7.6,0.0,23.2
2020-04-03,7.0,0.0,16.1
2020-04-04,8.5,0.0,19.5
2020-04-05,10.8,0.0,25.5
2020-04-06,12.1,0.2,20.6
2020-04-07,10.1,0.0,16.4
2020-04-08,11.8,0.0,13.5
2020-04-09,11.3,0.0,17.7
2020-04-10,10.3,0.0,15.0
2020-04-11,11.3,0.0,15.3
2020-04-12,13.3,0.0,24.4
2020-04-13,7.3,0.0,32.4
2020-04-14,6.2,0.0,15.0
2020-04-15,7.8,0.0,12.3
2020-04-16,9.7,0.0,16.3
2020-04-17,9.0,1.1,29.9
2020-04-18,8.9,2.4,24.4
2020-04-19,9.7,0.3,26.0
2020-04-20,10.9,0.0,34.0
2020-04-21,11.7,0.0,31.0
2020-04-22,12.2,0.0,24.4
2020-04-23,12.2,0.0,14.5
2020-04-24,10.0,0.0,16.6
2020-04-25,8.2,0.0,12.7
2020-04-26,9.2,0.0,13.4
2020-04-27,11.2,0.1,20.0
2020-04-28,8.5,9.2,26.0
2020-04-29,10.0,4.3,26.4
2020-04-30,9.8,5.1,34.5
2020-05-01,10.2,3.3,24.6
2020-05-02,10.3,0.4,21.7
2020-05-03,10.3,0.0,12.1
2020-05-04,10.4,0.0,23.1
2020-05-05,9.0,0.0,27.2
2020-05-06,9.8,0.0,17.0
2020-05-07,11.4,0.0,15.4
2020-05-08,14.1,0.0,14.4
2020-05-09,14.5,0.0,15.6
2020-05-10,11.7,0.7,37.8
2020-05-11,8.3,0.0,39.5
2020-05-12,8.5,0.0,18.6
2020-05-13,8.2,0.1,26.1
2020-05-14,7.4,0.0,19.3
2020-05-15,9.0,0.0,19.5
2020-05-16,11.1,0.0,18.0
2020-05-17,13.1,0.0,19.6
2020-05-18,16.1,0.0,18.1
2020-05-19,17.0,0.0,14.3
2020-05-20,15.4,0.0,19.5
2020-05-21,17.5,1.8,15.7
2020-05-22,17.9,1.3,32.1
2020-05-23,15.1,0.2,35.5
