time,temperature_2m_mean,precipitation_sum,wind_speed_10m_max
2020-01-01,1.2,0.0,11.3
2020-01-02,0.1,0.0,19.8
2020-01-03,5.1,6.2,22.2
2020-01-04,4.3,5.6,30.7
2020-01-05,4.1,0.0,18.0
2020-01-06,4.9,0.0,18.6
2020-01-07,5.6,0.0,22.4
2020-01-08,8.4,2.2,25.4
2020-01-09,10.1,3.6,23.1
2020-01-10,8.1,4.5,25.9
2020-01-11,4.2,0.0,25.2
2020-01-12,6.0,3.9,28.4
2020-01-13,5.7,0.3,23.8
2020-01-14,8.9,4.7,31.5
2020-01-15,11.3,0.6,30.5
2020-01-16,5.7,0.0,17.5
2020-01-17,7.4,1.4,21.9
2020-01-18,4.9,0.5,29.3
2020-01-19,2.9,0.0,15.8
2020-01-20,4.2,0.0,15.6
2020-01-21,4.2,0.0,22.5
2020-01-22,5.7,0.3,19.2
2020-01-23,4.3,0.0,11.8
2020-01-24,1.9,0.0,15.1
2020-01-25,2.6,0.0,15.3
2020-01-26,1.9,0.0,16.2
2020-01-27,5.9,6.0,21.7
2020-01-28,4.6,16.2,31.4
2020-01-29,3.5,5.0,29.5
2020-01-30,7.0,6.9,30.5
2020-01-31,9.7,1.7,31.0
2020-02-01,10.1,2.7,30.2
2020-02-02,6.8,5.6,30.6
2020-02-03,6.9,3.2,25.2
2020-02-04,4.2,1.7,23.1
2020-02-05,2.4,0.0,18.2
2020-02-06,5.7,0.1,18.0
2020-02-07,5.4,0.0,16.8
2020-02-08,5.2,0.3,19.0
2020-02-09,8.9,6.9,45.9
2020-02-10,5.8,18.3,38.5
2020-02-11,3.2,7.0,37.9
2020-02-12,3.6,4.5,34.6
2020-02-13,2.7,5.4,24.2
2020-02-14,3.9,0.3,13.9
2020-02-15,8.3,0.0,29.5
2020-02-16,12.5,8.0,46.6
2020-02-17,7.8,0.8,34.2
2020-02-18,6.1,2.8,36.0
2020-02-19,5.2,5.3,26.1
2020-02-20,6.3,6.0,34.3
2020-02-21,5.8,4.5,32.8
2020-02-22,7.8,5.7,36.3
2020-02-23,5.5,12.7,31.3
2020-02-24,5.5,14.0,28.2
2020-02-25,6.2,1.4,36.5
2020-02-26,2.7,0.3,17.9
2020-02-27,2.3,1.5,18.9
2020-02-28,4.2,3.0,27.1
2020-02-29,7.6,12.6,37.4
2020-03-01,6.3,0.6,33.8
2020-03-02,6.5,0.7,15.7
2020-03-03,4.7,6.1,18.6
2020-03-04,3.8,0.4,17.2
2020-03-05,4.9,0.1,20.5
2020-03-06,4.1,6.9,20.7
2020-03-07,4.2,0.0,18.3
2020-03-08,8.2,1.3,28.1
2020-03-09,7.2,0.9,20.5
2020-03-10,7.9,12.9,30.5
2020-03-11,9.2,0.0,29.9
2020-03-12,8.0,5.2,43.7
2020-03-13,5.0,3.2,35.3
2020-03-14,4.0,0.0,19.3
2020-03-15,9.0,0.0,27.9
2020-03-16,8.6,0.0,17.9
2020-03-17,7.7,0.0,19.3
2020-03-18,10.3,0.4,23.8
2020-03-19,7.7,0.5,10.8
