time,temperature_2m_mean,precipitation_sum,wind_speed_10m_max
2020-01-01,4.7,0.1,14.8
2020-01-02,8.0,0.1,25.9
2020-01-03,9.1,2.7,30.8
2020-01-04,8.0,0.5,23.9
2020-01-05,6.8,0.7,13.3
2020-01-06,6.0,0.3,27.3
2020-01-07,9.1,0.4,23.2
2020-01-08,11.5,2.2,23.5
2020-01-09,11.6,3.8,33.4
2020-01-10,7.6,1.0,28.3
2020-01-11,6.9,0.0,24.9
2020-01-12,9.0,0.6,30.9
2020-01-13,8.8,4.4,41.0
2020-01-14,11.5,15.0,45.3
2020-01-15,9.5,3.7,41.1
2020-01-16,9.6,0.4,36.9
2020-01-17,8.3,6.0,34.4
2020-01-18,5.6,0.8,23.4
2020-01-19,5.5,0.0,21.9
2020-01-20,4.3,0.0,15.9
2020-01-21,2.2,0.0,11.4
2020-01-22,1.1,0.0,17.3
2020-01-23,2.9,0.0,18.7
2020-01-24,1.8,0.0,12.7
2020-01-25,4.5,0.0,22.5
2020-01-26,7.9,4.6,30.6
2020-01-27,8.2,5.5,36.3
2020-01-28,5.8,12.0,49.5
2020-01-29,7.6,1.2,30.5
2020-01-30,9.7,5.4,28.8
2020-01-31,10.8,0.5,27.5
2020-02-01,10.1,16.0,31.4
2020-02-02,11.0,9.8,37.1
2020-02-03,9.6,17.7,33.2
2020-02-04,7.8,1.3,41.3
2020-02-05,6.1,0.0,14.8
2020-02-06,4.6,0.0,22.2
2020-02-07,6.4,0.0,22.8
2020-02-08,9.0,5.7,24.5
2020-02-09,10.3,5.3,59.9
2020-02-10,8.2,11.4,60.7
2020-02-11,6.6,3.6,49.8
2020-02-12,6.5,4.8,36.8
2020-02-13,8.3,10.4,48.6
2020-02-14,9.5,0.5,23.9
2020-02-15,11.3,2.2,43.4
2020-02-16,11.6,14.8,55.9
2020-02-17,7.9,1.8,45.7
2020-02-18,7.6,6.8,44.4
2020-02-19,8.0,3.1,37.9
2020-02-20,8.8,3.7,43.8
2020-02-21,7.8,0.0,27.2
2020-02-22,8.9,1.4,33.7
2020-02-23,10.9,3.2,41.5
2020-02-24,10.7,6.8,36.3
2020-02-25,7.3,9.7,45.3
2020-02-26,5.5,4.3,41.0
2020-02-27,6.6,10.9,44.3
2020-02-28,7.3,3.6,35.0
2020-02-29,8.1,5.0,45.6
2020-03-01,6.7,2.0,33.9
2020-03-02,6.8,6.0,33.9
2020-03-03,6.3,3.9,26.3
2020-03-04,7.0,5.8,24.3
2020-03-05,8.4,23.4,51.9
2020-03-06,6.3,2.0,28.3
2020-03-07,8.1,0.5,24.6
2020-03-08,9.0,9.3,35.0
2020-03-09,8.1,10.1,33.4
2020-03-10,11.0,6.8,36.1
2020-03-11,12.0,6.2,36.5
2020-03-12,8.6,2.0,40.0
2020-03-13,7.8,3.4,29.8
2020-03-14,8.5,2.8,22.3
2020-03-15,9.7,0.9,29.5
2020-03-16,7.8,0.0,15.2
2020-03-17,7.5,0.0,9.7
2020-03-18,9.4,0.0,12.4
2020-03-19,10.1,0.4,18.7
2020-03-20,8.3,3.3,27.4
2020-03-21,7.1,1.0,26.6
2020-03-22,7.0,0.0,27.2
2020-03-23,6.7,0.0,25.8
2020-03-24,6.7,0.0,21.1
2020-03-25,6.5,0.0,19.8
2020-03-26,6.3,0.0,22.0
2020-03-27,7.0,0.0,22.9
2020-03-28,8.5,0.0,38.9
2020-03-29,5.6,0.9,42.9
2020-03-30,4.8,0.0,34.2
2020-03-31,6.3,0.0,25.0
2020-04-01,5.2,0.0,18.7
2020-04-02,7.1,0.1,19.4
2020-04-03,8.6,0.8,14.0
2020-04-04,9.6,0.0,23.3
2020-04-05,13.4,0.0,23.7
2020-04-06,11.7,0.2,19.5
2020-04-07,12.5,0.0,15.4
2020-04-08,13.8,0.1,13.0
2020-04-09,15.4,0.0,19.1
2020-04-10,17.0,0.0,19.7
2020-04-11,16.1,0.0,15.7
2020-04-12,15.4,0.1,14.9
2020-04-13,10.2,0.0,35.4
2020-04-14,7.9,0.0,22.4
2020-04-15,11.5,0.0,21.8
2020-04-16,15.2,0.7,15.8
2020-04-17,15.3,4.4,17.2
2020-04-18,12.6,3.8,13.5
2020-04-19,11.9,0.0,22.9
2020-04-20,15.0,0.0,24.5
2020-04-21,14.7,0.0,21.6
2020-04-22,14.8,0.0,18.9
2020-04-23,14.4,0.0,9.8
2020-04-24,13.5,0.0,13.3
2020-04-25,12.8,0.6,16.9
2020-04-26,12.1,0.0,12.4
2020-04-27,12.8,4.3,12.1
2020-04-28,12.5,11.8,26.0
2020-04-29,11.2,5.6,35.1
2020-04-30,10.5,3.5,38.6
2020-05-01,10.8,2.2,32.8
2020-05-02,10.8,0.9,24.6
2020-05-03,11.9,1.5,21.7
2020-05-04,13.3,0.0,28.7
2020-05-05,11.8,6.4,29.9
2020-05-06,14.0,0.0,15.2
2020-05-07,14.5,0.0,14.0
2020-05-08,16.0,0.0,15.8
2020-05-09,16.4,6.2,11.1
2020-05-10,13.9,5.0,44.1
2020-05-11,9.3,0.0,44.4
2020-05-12,8.8,0.0,22.2
2020-05-13,9.1,0.0,33.9
2020-05-14,9.1,0.0,32.6
2020-05-15,10.0,0.0,23.2
2020-05-16,10.8,0.0,14.0
2020-05-17,11.6,0.0,13.5
2020-05-18,12.2,0.0,13.3
2020-05-19,12.6,0.0,12.6
2020-05-20,16.6,0.0,12.0
2020-05-21,18.2,0.0,18.9
2020-05-22,16.8,0.5,24.3
2020-05-23,13.7,2.1,31.3
2020-05-24,13.2,0.0,26.3
2020-05-25,15.4,0.0,18.4
2020-05-26,17.0,0.0,19.1
2020-05-27,18.2,0.0,21.7
2020-05-28,16.8,0.0,22.0
2020-05-29,17.6,0.0,24.6
2020-05-30,18.4,0.0,21.9
2020-05-31,18.3,0.0,31.7
2020-06-01,18.4,0.0,25.7
2020-06-02,18.5,0.0,19.5
2020-06-03,15.9,0.0,23.6
2020-06-04,13.1,1.7,24.3
2020-06-05,13.3,4.4,38.1
2020-06-06,12.5,4.2,37.1
2020-06-07,13.2,7.3,25.1
2020-06-08,12.9,0.3,23.4
2020-06-09,12.6,0.2,10.8
2020-06-10,12.2,2.3,12.0
2020-06-11,15.3,0.5,26.7
2020-06-12,16.1,4.5,28.2
2020-06-13,16.2,2.8,28.4
2020-06-14,16.8,0.6,22.6
2020-06-15,16.5,0.3,13.4
2020-06-16,16.1,3.5,13.9
2020-06-17,15.6,0.4,12.0
2020-06-18,15.3,1.6,14.1
2020-06-19,15.1,1.5,19.4
2020-06-20,17.1,0.0,17.2
2020-06-21,15.8,2.5,21.0
2020-06-22,16.7,0.0,16.9
2020-06-23,20.8,0.0,14.8
2020-06-24,24.0,0.0,20.3
2020-06-25,25.5,0.0,18.8
2020-06-26,19.6,2.5,16.3
2020-06-27,17.9,3.4,33.1
2020-06-28,16.2,0.9,31.8
2020-06-29,15.8,1.4,32.5
2020-06-30,17.8,3.8,25.5
2020-07-01,17.6,4.7,26.2
2020-07-02,16.2,1.8,26.6
2020-07-03,16.6,0.9,24.0
2020-07-04,18.0,7.5,32.8
2020-07-05,17.0,2.4,36.5
2020-07-06,15.2,0.1,31.6
2020-07-07,16.1,0.0,17.0
2020-07-08,16.8,0.0,27.3
2020-07-09,18.3,0.1,26.5
2020-07-10,16.0,0.8,25.2
2020-07-11,15.8,0.0,16.1
2020-07-12,16.6,0.0,23.2
2020-07-13,17.3,0.0,15.9
2020-07-14,16.8,4.5,19.2
2020-07-15,16.4,0.3,19.6
2020-07-16,17.2,0.2,18.4
2020-07-17,18.0,0.0,15.8
2020-07-18,17.0,0.0,13.0
2020-07-19,17.0,0.0,16.7
2020-07-20,17.6,0.0,22.3
2020-07-21,17.3,0.0,22.9
2020-07-22,17.6,0.0,18.1
2020-07-23,17.0,0.1,14.3
2020-07-24,18.5,1.6,22.0
2020-07-25,18.9,7.1,24.7
2020-07-26,17.6,1.9,24.2
2020-07-27,19.5,0.7,33.6
2020-07-28,16.9,1.0,27.8
2020-07-29,16.5,0.0,14.2
2020-07-30,21.5,0.0,18.6
2020-07-31,23.7,0.0,28.6
2020-08-01,19.2,0.0,22.7
2020-08-02,17.8,0.2,22.6
