time,temperature_2m_mean,precipitation_sum,wind_speed_10m_max
2020-01-01,6.2,1.2,21.3
2020-01-02,6.2,0.0,25.9
2020-01-03,7.5,0.0,25.2
2020-01-04,9.7,0.0,7.9
2020-01-05,8.8,19.5,30.7
2020-01-06,5.2,51.6,29.5
2020-01-07,5.8,6.9,33.0
2020-01-08,5.6,0.0,23.8
2020-01-09,5.8,0.0,20.9
2020-01-10,6.9,0.0,10.0
2020-01-11,8.5,0.0,9.0
2020-01-12,8.5,0.0,13.1
2020-01-13,9.0,0.0,12.0
2020-01-14,8.2,0.0,11.0
2020-01-15,9.4,0.0,15.8
2020-01-16,8.8,0.0,19.9
2020-01-17,9.2,0.0,18.7
2020-01-18,8.6,0.0,16.1
2020-01-19,7.7,0.0,14.7
2020-01-20,7.4,0.0,15.3
2020-01-21,6.8,0.0,17.0
2020-01-22,9.1,0.0,7.8
2020-01-23,8.4,0.0,23.4
2020-01-24,6.9,0.0,12.0
2020-01-25,8.1,0.0,10.0
2020-01-26,10.5,2.0,9.8
2020-01-27,11.5,2.8,9.0
2020-01-28,11.0,0.0,14.3
2020-01-29,12.4,0.0,12.1
2020-01-30,11.8,0.1,21.4
2020-01-31,10.1,0.0,11.5
2020-02-01,12.7,0.0,9.8
2020-02-02,11.7,0.0,7.9
2020-02-03,12.8,0.0,12.6
2020-02-04,13.4,0.0,13.7
2020-02-05,11.5,8.5,24.4
2020-02-06,5.6,2.8,26.4
2020-02-07,5.9,0.0,26.2
2020-02-08,4.7,0.0,18.3
2020-02-09,6.2,0.0,11.7
2020-02-10,8.9,0.0,17.5
2020-02-11,12.3,0.0,17.7
2020-02-12,14.9,0.0,13.4
2020-02-13,11.6,0.0,13.6
2020-02-14,11.0,4.9,14.5
2020-02-15,11.3,6.5,23.0
2020-02-16,9.6,0.0,19.1
2020-02-17,9.9,0.0,17.0
2020-02-18,9.3,0.0,11.6
2020-02-19,10.2,0.0,8.8
2020-02-20,11.1,12.0,26.8
2020-02-21,8.9,2.0,22.5
2020-02-22,7.3,3.6,18.7
2020-02-23,8.4,0.0,18.8
2020-02-24,10.7,0.0,11.4
2020-02-25,11.7,0.0,10.3
2020-02-26,12.6,0.0,14.9
2020-02-27,13.5,0.0,27.1
2020-02-28,11.2,0.0,23.5
2020-02-29,8.9,0.0,26.3
2020-03-01,10.1,0.0,11.3
2020-03-02,12.1,0.0,12.3
2020-03-03,13.5,0.0,24.6
2020-03-04,14.3,4.2,32.1
2020-03-05,12.7,0.1,14.1
2020-03-06,12.4,0.0,12.2
2020-03-07,13.6,0.0,24.8
2020-03-08,15.0,0.3,23.1
2020-03-09,10.6,23.1,20.9
2020-03-10,12.1,0.0,17.1
2020-03-11,11.5,0.1,9.4
2020-03-12,12.8,0.0,18.0
2020-03-13,15.4,0.0,17.6
2020-03-14,15.7,0.0,13.8
2020-03-15,14.2,0.5,18.1
2020-03-16,8.9,1.3,25.0
2020-03-17,9.0,0.0,16.6
2020-03-18,10.2,0.1,13.0
2020-03-19,9.7,0.0,17.4
2020-03-20,11.6,0.0,18.6
2020-03-21,13.4,0.0,17.9
2020-03-22,12.7,0.9,14.9
2020-03-23,13.2,3.5,18.7
2020-03-24,12.4,0.0,18.6
2020-03-25,12.3,3.5,20.1
2020-03-26,12.4,7.8,20.2
2020-03-27,11.6,13.0,17.7
2020-03-28,11.5,0.0,11.3
2020-03-29,12.1,1.1,10.3
2020-03-30,11.9,0.0,14.9
2020-03-31,13.9,0.0,19.5
2020-04-01,12.0,1.6,16.9
2020-04-02,11.5,0.0,20.3
2020-04-03,10.1,1.6,11.2
2020-04-04,11.9,40.7,36.6
2020-04-05,12.1,17.7,28.0
2020-04-06,10.6,3.4,23.0
2020-04-07,10.3,3.4,31.4
2020-04-08,11.3,0.0,23.8
2020-04-09,11.9,0.0,20.5
2020-04-10,14.4,0.0,16.9
2020-04-11,16.2,0.0,13.4
2020-04-12,16.0,0.0,17.8
2020-04-13,14.5,0.0,11.3
2020-04-14,15.6,0.0,18.4
2020-04-15,13.6,0.0,39.4
2020-04-16,12.4,0.0,17.7
2020-04-17,13.2,0.0,10.7
2020-04-18,15.5,0.0,11.4
2020-04-19,16.5,0.0,11.5
2020-04-20,16.5,0.0,10.9
2020-04-21,16.1,1.7,20.9
