time,temperature_2m_mean,precipitation_sum,wind_speed_10m_max
2020-01-01,2.1,0.0,15.9
2020-01-02,4.5,0.0,25.3
2020-01-03,8.0,3.6,28.4
2020-01-04,6.8,0.5,28.4
2020-01-05,6.1,0.1,19.0
2020-01-06,5.7,1.5,21.0
2020-01-07,6.8,0.5,28.1
2020-01-08,10.4,2.8,29.0
2020-01-09,11.4,7.8,29.8
2020-01-10,6.9,1.4,22.9
2020-01-11,5.2,0.0,27.9
2020-01-12,7.2,0.7,33.0
2020-01-13,7.2,0.4,37.9
2020-01-14,10.4,9.6,41.6
2020-01-15,9.5,2.8,38.4
2020-01-16,7.1,0.0,26.8
2020-01-17,8.5,0.7,31.2
2020-01-18,5.2,1.2,22.3
2020-01-19,5.0,0.2,18.7
2020-01-20,3.5,0.0,10.3
2020-01-21,2.4,0.0,14.2
2020-01-22,4.2,0.0,10.6
2020-01-23,4.8,0.1,7.6
2020-01-24,2.5,0.0,12.1
2020-01-25,1.8,0.0,12.6
2020-01-26,5.4,0.9,23.8
2020-01-27,8.0,7.6,31.0
2020-01-28,5.0,7.8,33.4
2020-01-29,5.7,0.6,30.9
2020-01-30,8.3,1.4,31.6
2020-01-31,10.4,0.7,33.3
2020-02-01,10.3,0.8,32.6
2020-02-02,9.1,6.4,34.7
2020-02-03,8.9,3.6,28.6
2020-02-04,5.7,2.4,31.4
2020-02-05,4.5,0.0,13.8
2020-02-06,4.6,0.0,10.5
2020-02-07,4.5,0.0,18.5
2020-02-08,7.2,1.2,20.0
2020-02-09,9.3,10.1,57.0
2020-02-10,7.6,5.8,46.1
2020-02-11,5.6,1.5,42.6
2020-02-12,5.1,0.5,36.1
2020-02-13,5.9,11.5,33.3
2020-02-14,7.5,0.1,21.7
2020-02-15,10.3,0.7,44.5
2020-02-16,11.8,13.2,51.7
2020-02-17,7.8,0.9,38.8
2020-02-18,7.3,3.5,32.7
2020-02-19,6.2,2.2,31.3
2020-02-20,7.9,7.3,35.8
2020-02-21,7.2,0.0,36.4
2020-02-22,9.3,0.8,42.4
2020-02-23,8.9,15.4,49.1
2020-02-24,7.7,7.3,41.7
2020-02-25,6.4,3.6,31.1
2020-02-26,4.1,4.8,24.8
2020-02-27,2.8,6.3,25.3
2020-02-28,4.8,8.8,32.8
2020-02-29,8.6,2.3,45.8
2020-03-01,6.4,0.3,39.5
2020-03-02,5.1,2.6,20.8
2020-03-03,4.8,0.4,21.4
2020-03-04,6.4,2.8,15.5
2020-03-05,5.7,16.1,26.0
2020-03-06,5.8,5.9,21.4
2020-03-07,6.6,0.4,25.1
2020-03-08,8.4,1.8,30.9
2020-03-09,7.3,2.9,27.2
2020-03-10,10.2,12.2,37.5
2020-03-11,10.7,5.5,33.0
2020-03-12,8.4,1.8,40.8
2020-03-13,6.3,2.0,33.6
2020-03-14,6.6,0.7,25.3
2020-03-15,9.4,0.1,33.1
2020-03-16,7.7,0.0,13.1
2020-03-17,7.6,0.0,21.4
2020-03-18,9.9,0.0,22.7
2020-03-19,8.5,0.0,15.3
2020-03-20,6.6,0.5,24.7
2020-03-21,4.7,0.0,30.3
2020-03-22,4.4,0.0,25.3
2020-03-23,4.4,0.0,23.6
2020-03-24,5.0,0.0,17.8
2020-03-25,5.0,0.0,16.3
2020-03-26,5.8,0.0,22.4
2020-03-27,7.5,0.0,21.1
2020-03-28,7.4,0.0,28.8
2020-03-29,4.5,0.1,37.2
2020-03-30,4.1,0.5,20.6
2020-03-31,3.8,0.0,15.2
2020-04-01,3.6,0.0,10.9
2020-04-02,6.3,0.3,26.6
2020-04-03,6.7,0.6,19.7
2020-04-04,8.3,0.0,17.2
2020-04-05,11.7,0.0,23.7
2020-04-06,13.2,0.2,20.9
2020-04-07,12.2,0.0,13.7
2020-04-08,14.4,0.0,13.6
2020-04-09,13.4,0.0,15.5
2020-04-10,11.4,0.0,14.1
2020-04-11,12.4,0.0,11.5
2020-04-12,13.4,0.0,17.3
2020-04-13,7.8,0.0,26.3
2020-04-14,6.6,0.0,15.3
2020-04-15,8.5,0.0,9.2
2020-04-16,12.4,0.0,16.8
2020-04-17,10.9,0.0,19.6
2020-04-18,9.8,5.0,15.5
2020-04-19,12.5,0.6,22.1
2020-04-20,12.4,0.0,31.7
2020-04-21,13.8,0.0,30.8
2020-04-22,14.9,0.0,24.9
2020-04-23,15.2,0.0,13.3
2020-04-24,11.8,0.0,17.9
2020-04-25,9.4,0.0,16.5
2020-04-26,9.1,0.0,11.3
2020-04-27,12.1,0.0,16.7
2020-04-28,9.6,4.5,19.6
2020-04-29,12.0,5.8,23.5
2020-04-30,11.5,5.5,28.8
2020-05-01,10.1,6.7,25.7
2020-05-02,10.3,3.2,22.2
2020-05-03,12.0,0.2,13.2
2020-05-04,11.3,1.6,20.1
2020-05-05,9.4,0.0,20.9
2020-05-06,10.7,0.0,18.0
2020-05-07,12.3,0.0,15.8
2020-05-08,15.5,0.0,11.9
2020-05-09,17.1,0.0,21.7
2020-05-10,13.5,0.4,33.4
2020-05-11,8.6,0.0,35.9
2020-05-12,8.3,0.0,15.9
2020-05-13,8.8,0.4,25.6
2020-05-14,8.1,0.0,20.3
2020-05-15,8.9,0.0,15.3
2020-05-16,10.8,0.3,20.9
2020-05-17,13.0,0.0,19.4
2020-05-18,14.5,0.0,22.5
2020-05-19,15.8,0.0,16.3
2020-05-20,16.7,0.0,14.8
2020-05-21,19.5,0.1,11.1
2020-05-22,18.1,0.6,30.8
2020-05-23,14.9,0.3,34.9
2020-05-24,13.9,1.1,28.1
2020-05-25,15.2,0.0,16.6
2020-05-26,15.8,0.0,16.0
2020-05-27,15.6,0.0,21.1
2020-05-28,14.5,0.0,21.2
2020-05-29,15.3,0.0,18.1
2020-05-30,17.9,0.0,23.7
2020-05-31,17.6,0.0,23.8
2020-06-01,18.4,0.0,18.0
2020-06-02,18.4,0.0,16.3
2020-06-03,15.7,0.0,18.9
2020-06-04,12.9,1.2,27.3
2020-06-05,10.6,19.1,30.1
2020-06-06,11.5,1.7,40.1
2020-06-07,12.5,3.2,25.5
2020-06-08,13.9,1.1,24.4
2020-06-09,12.6,0.0,16.2
2020-06-10,13.3,0.9,8.4
2020-06-11,15.6,1.3,15.9
2020-06-12,18.8,5.9,19.7
2020-06-13,19.7,5.9,15.0
2020-06-14,18.1,0.6,19.4
2020-06-15,18.4,0.4,11.0
2020-06-16,18.2,6.0,13.2
2020-06-17,19.3,4.7,20.1
2020-06-18,17.6,7.4,21.2
2020-06-19,16.6,0.6,18.5
2020-06-20,16.9,0.5,14.2
2020-06-21,17.6,1.8,24.5
2020-06-22,17.2,0.0,16.6
2020-06-23,19.2,0.0,13.3
2020-06-24,23.0,0.0,15.9
2020-06-25,23.7,0.0,21.2
2020-06-26,24.3,4.1,20.7
2020-06-27,19.6,5.8,30.8
2020-06-28,17.0,1.5,32.4
2020-06-29,16.0,0.2,34.8
2020-06-30,16.4,8.6,33.6
2020-07-01,17.9,3.5,24.8
2020-07-02,16.9,1.0,23.5
2020-07-03,17.1,1.0,31.3
2020-07-04,17.2,8.0,35.8
2020-07-05,17.9,2.2,40.4
2020-07-06,15.2,1.0,29.4
2020-07-07,15.2,2.7,22.1
2020-07-08,15.8,13.7,14.3
2020-07-09,17.0,7.7,26.9
2020-07-10,14.7,4.5,24.7
2020-07-11,14.0,0.3,17.1
2020-07-12,14.9,0.0,12.6
2020-07-13,16.8,0.0,12.3
2020-07-14,15.8,4.1,15.0
2020-07-15,15.8,0.7,13.0
2020-07-16,16.1,2.3,20.7
2020-07-17,18.3,2.6,8.0
2020-07-18,19.1,0.5,15.4
2020-07-19,17.0,4.0,18.1
2020-07-20,15.7,0.0,18.1
